X11 - Break,X12 - anger,X13 - threaten,X21 - gazeaway,X22 - walkaway ,time
0.699248948992901,0.998285451539882,0.969956493869489,0.998295549108478,0.824236402198432,115.5
0.713270532470019,0.99836927136168,0.971422538046351,0.998380447317238,0.828659602463962,116
0.726624431003288,0.998448933276695,0.972816172111155,0.998461100624354,0.832869778558525,116.5
0.739338827518436,0.998524640340491,0.974140881750649,0.998537721274397,0.836877098815301,117
0.751441398261469,0.998596586221215,0.975400000774523,0.998610510899739,0.840691254039837,117.5
0.76295916582105,0.998664955540534,0.976596714666064,0.998679661051167,0.844321478946751,118
0.773918395719441,0.998729924220473,0.977734064751382,0.998745353701952,0.84777657281947,118.5
0.784344526034635,0.998791659831443,0.978814952783964,0.998807761726728,0.851064919380482,119
0.794262122131925,0.998850321937878,0.979842145792324,0.998867049356421,0.85419450587007,119.5
0.803694850515502,0.998906062438836,0.980818281076532,0.998923372610432,0.857172941339649,120
0.812665467244956,0.998959025901594,0.98174587126795,0.998976879707215,0.860007474172109,120.5
0.821195817431869,0.999009349886812,0.982627309387971,0.999027711454316,0.862705008846283,121
0.829306843135242,0.999057165264241,0.983464873857863,0.999076001618927,0.865272121966079,121.5
0.837018597581648,0.999102596518287,0.984260733424166,0.999121877279894,0.867715077577234,122
0.844350264097871,0.999145762042974,0.985016951973612,0.999165459162138,0.870039841796204,122.5
0.851320178497594,0.99918677442606,0.985735493218772,0.99920686195435,0.872252096776637,123
0.857945853936586,0.999225740722194,0.986418225241295,0.999246194610799,0.874357254039299,123.5
0.864244007462766,0.999262762715133,0.987066924883921,0.999283560638056,0.876360467191337,124
0.870230587653168,0.999297937169125,0.987683281985849,0.999319058367374,0.8782666440605,124.5
0.875920802860107,0.999331356069618,0.988268903458631,0.999352781213457,0.880080458269461,125
0.881329149691848,0.999363106853543,0.988825317201832,0.999384817920284,0.881806360274742,125.5
0.886469441434933,0.999393272629411,0.989353975859221,0.999415252794646,0.883448587893991,126
0.89135483619062,0.999421932387535,0.989856260417521,0.999444165928005,0.885011176344544,126.5
0.895997864550181,0.999449161200696,0.9903334836506,0.999471633407257,0.88649796781537,127
0.900410456675705,0.999475030415557,0.990786893412749,0.999497727514966,0.887912620593576,127.5
0.904603968686818,0.999499607835187,0.99121767578514,0.999522516919573,0.889258617765829,128
0.908589208280798,0.999522957893023,0.991626958079964,0.999546066856106,0.890539275514121,128.5
0.912376459535368,0.999545141818608,0.992015811706974,0.999568439297847,0.891757751024509,129
0.915975506860953,0.999566217795443,0.992385254907326,0.999589693119425,0.892917050026589,129.5
0.919395658083174,0.999586241111292,0.992736255359683,0.999609884251739,0.894020033980698,130
0.922645766647545,0.99960526430125,0.993069732663578,0.999629065829154,0.895069426929043,130.5
0.925734252947207,0.999623337283915,0.993386560705002,0.999647288329319,0.896067822026235,131
0.928669124781498,0.99964050749094,0.993687569909128,0.999664599706007,0.897017687763995,131.5
0.931457996958624,0.999656819990297,0.993973549384985,0.999681045515308,0.897921373904116,132
0.934108110059904,0.999672317603523,0.994245248966797,0.999696669035512,0.898781117133131,132.5
0.936626348386224,0.999687041017223,0.994503381156578,0.999711511381,0.89959904645152,133
0.939019257109676,0.999701028889119,0.99474862297241,0.999725611610436,0.900377188309693,133.5
0.941293058655075,0.999714317948878,0.994981617706727,0.999739006829556,0.901117471502451,134
0.943453668337105,0.999726943093982,0.995202976598747,0.999751732288814,0.901821731833053,134.5
0.945506709279608,0.999738937480876,0.995413280425046,0.999763821476142,0.902491716557562,135
0.947457526643794,0.999750332611605,0.995613081012121,0.999775306205083,0.903129088619611,135.5
0.949311201192242,0.999761158416185,0.995802902674631,0.999786216698502,0.903735430685301,136
0.951072562215354,0.999771443330888,0.995983243582846,0.999796581668125,0.904312248987475,136.5
0.95274619984661,0.999781214372649,0.996154577062703,0.999806428390096,0.904860976988227,137
0.954336476792419,0.999790497209797,0.996317352831692,0.999815782776752,0.905382978868063,137.5
0.955847539501834,0.999799316229259,0.996471998173683,0.999824669444818,0.905879552849776,138
0.957283328800668,0.99980769460045,0.996618919055641,0.999833111780183,0.906351934364733,138.5
0.958647590013849,0.999815654335968,0.996758501189059,0.999841131999445,0.906801299068889,139
0.959943882599056,0.999823216349291,0.996891111038809,0.999848751208373,0.90722876571556,139.5
0.961175589313918,0.999830400509592,0.997017096781958,0.999855989457451,0.90763539889162,140
0.962345924938189,0.999837225693837,0.99713678921903,0.99986286579464,0.90802221162352,140.5
0.963457944571557,0.999843709836284,0.997250502640018,0.999869398315505,0.908390167859206,141
0.964514551526897,0.999849869975523,0.997358535647389,0.999875604210833,0.908740184831763,141.5
0.965518504837978,0.999855722299171,0.997461171938187,0.999881499811874,0.909073135310317,142
0.966472426399846,0.999861282186341,0.997558681047261,0.999887100633318,0.909389849743503,142.5
0.967378807759344,0.999866564247996,0.997651319053524,0.999892421414121,0.909691118300539,143
0.968240016572449,0.999871582365291,0.997739329251079,0.999897476156291,0.909977692814731,143.5
0.969058302744385,0.999876349726007,0.997822942786946,0.99990227816174,0.910250288634002,144
0.969835804267777,0.999880878859165,0.997902379267035,0.999906840067283,0.910509586382837,144.5
0.970574552773385,0.999885181667916,0.99797784733196,0.999911173877897,0.910756233639815,145
0.971276478807336,0.999889269460789,0.998049545204161,0.999915290998309,0.910990846534735,145.5
0.971943416848091,0.999893152981386,0.998117661207774,0.999919202263013,0.911214011269126,146
0.972577110075822,0.999896842436585,0.998182374262601,0.999922917964777,0.911426285563781,146.5
